# Curated raw_category -> OSM spec_id mappings for Overture / FSQ records.
# Edit this file, rebuild (cache hits → fast), and external POIs get re-attributed.
#
# Columns: raw_category <TAB> spec_id
#   - raw_category: matched case-insensitively against the FULL category
#                   string and each `>`-separated segment (last-first).
#                   Whitespace is significant within the value.
#   - spec_id: must match a key=value (or key=value|filter_key=filter_value)
#              that exists in tags_config.py. Use external=other to leave
#              records under the "External (uncategorized)" checkbox.
#
# Lines starting with `#` and blank lines are ignored.
# Rules in this file beat the regex fallbacks in category_map.py.

# ---- Foursquare (leaf labels) ----
Café	amenity=cafe
Office	office=company
Coworking Space	office=coworking
Business Center	office=company
Tech Startup	office=it
Design Studio	office=company
Business Service	office=company
Advertising Agency	office=advertising_agency
Real Estate Agency	office=estate_agent
Non-Profit Organization	office=ngo
Bank	amenity=bank
Hotel	tourism=hotel
Hostel	tourism=hostel
Bed and Breakfast	tourism=guest_house
Resort	tourism=hotel
Motel	tourism=motel
Inn	tourism=hotel
Department Store	shop=department_store
Shopping Mall	shop=mall
Hardware Store	shop=doityourself
Construction Supplies Store	shop=doityourself
Furniture and Home Store	shop=furniture
Electronics Store	shop=electronics
Nail Salon	shop=beauty
Beauty Salon	shop=beauty
Spa	shop=beauty
Massage Studio	shop=massage
Tattoo Parlor	shop=tattoo
Pet Store	shop=pet
Toy Store	shop=toys
Sporting Goods Store	shop=sports
Bicycle Shop	shop=bicycle
Music Store	shop=music
Arts and Crafts Store	shop=art
Boutique	shop=clothes
Women's Store	shop=clothes
Men's Store	shop=clothes
Clothing Store	shop=clothes
Shoe Store	shop=shoes
Used Clothing Store	shop=clothes
Lingerie Store	shop=clothes
Watch Shop	shop=watches
Eyecare	shop=optician
Optical Shop	shop=optician
Dessert Shop	shop=confectionery
Candy Store	shop=confectionery
Ice Cream Parlor	amenity=ice_cream
Steakhouse	amenity=restaurant
Buffet	amenity=restaurant
Food Court	amenity=food_court
Breakfast Spot	amenity=restaurant
Diner	amenity=restaurant
Sandwich Spot	amenity=fast_food
Pizza Place	amenity=fast_food
Burger Joint	amenity=fast_food
Wings Joint	amenity=fast_food
Fried Chicken Joint	amenity=fast_food
Donut Shop	shop=bakery
Tea Room	amenity=cafe
Juice Bar	amenity=cafe
Coffee Shop	amenity=cafe
Coffee Roaster	amenity=cafe
Music Venue	amenity=arts_centre
Performing Arts Venue	amenity=arts_centre
Concert Hall	amenity=arts_centre
Bowling Alley	leisure=bowling_alley
Arcade	leisure=amusement_arcade
Movie Theater	amenity=cinema
Stadium	leisure=stadium
Race Track	leisure=track
Golf Course	leisure=golf_course
Garden	leisure=garden
Botanical Garden	leisure=garden
Other Great Outdoors	leisure=park
Beach	leisure=beach_resort
Mountain	leisure=nature_reserve
Trail	leisure=track
Plaza	leisure=park
Lake	leisure=nature_reserve
Other Event	external=other
Education	amenity=school
Student Center	amenity=college
Daycare	amenity=kindergarten
Preschool	amenity=kindergarten
Trade School	amenity=college
Driving School	amenity=driving_school
Music School	amenity=music_school
Tutoring Service	amenity=school
Assisted Living	amenity=social_facility
Retirement Home	amenity=social_facility
Funeral Home	amenity=funeral
Fraternity House	amenity=social_facility
Sorority House	amenity=social_facility
Auto Garage	shop=car_repair
Automotive Repair Shop	shop=car_repair
Car Wash	amenity=car_wash
Car Dealership	shop=car
Used Car Dealership	shop=car
Motorcycle Dealership	shop=motorcycle
Boat Dealership	shop=boat
Gas Station	amenity=fuel
Rental Car Location	amenity=car_rental
Travel Agency	office=travel_agent
Tourist Information and Service	tourism=information
Information	tourism=information
Theme Park	tourism=theme_park
Theme Park Ride	tourism=theme_park
Aquarium	tourism=aquarium
Zoo	tourism=zoo
Historic and Protected Site	historic=monument
Mosque	amenity=place_of_worship|religion=muslim
Church	amenity=place_of_worship|religion=christian
Synagogue	amenity=place_of_worship|religion=jewish
Buddhist Temple	amenity=place_of_worship|religion=buddhist
Hindu Temple	amenity=place_of_worship|religion=hindu
Atm	amenity=atm
ATM	amenity=atm
Currency Exchange	amenity=bureau_de_change
Insurance Office	office=insurance
Financial Service	office=financial
Lawyer	office=lawyer
Architecture Firm	office=architect
Notary	office=notary
Photography Studio	shop=photo
Print Shop	shop=copyshop
Locksmith	shop=locksmith
Tailor	craft=tailor
Carpenter	craft=carpenter
Plumber	craft=plumber
Electrician	craft=electrician
Painter	craft=painter
Storage Facility	shop=storage_rental
Laundromat	shop=laundry
Laundry Service	shop=laundry
Dry Cleaner	shop=dry_cleaning

# ---- Excluded categories (keep them out of the OSM-style buckets but
# keep them findable under "External (uncategorized)") ----
Apartment or Condo	external=other
Housing Development	external=other
Residential Building	external=other
Structure	external=other
Road	external=other
Bridge	external=other
Tunnel	external=other
Intersection	external=other
Factory	external=other
Power Plant	external=other
Distribution Center	external=other
Travel and Transportation	external=other
Vineyard	external=other
Orchard	external=other
Pasture	external=other

# ---- Overture (snake_case labels) ----
event_planning	office=company
furniture_store	shop=furniture
beauty_and_spa	shop=beauty
beauty_salon	shop=beauty
clothing_store	shop=clothes
hotel	tourism=hotel
hostel	tourism=hostel
real_estate_agent	office=estate_agent
real_estate	office=estate_agent
landmark_and_historical_building	historic=monument
professional_services	office=company
advertising_agency	office=advertising_agency
turkish_restaurant	amenity=restaurant
business_manufacturing_and_supply	external=other
arts_and_entertainment	amenity=arts_centre
nail_salon	shop=beauty
electronics_store	shop=electronics
department_store	shop=department_store
shopping_center	shop=mall
shopping_mall	shop=mall
mosque	amenity=place_of_worship|religion=muslim
church	amenity=place_of_worship|religion=christian
synagogue	amenity=place_of_worship|religion=jewish
elementary_school	amenity=school
middle_school	amenity=school
high_school	amenity=school
primary_school	amenity=school
secondary_school	amenity=school
night_club	amenity=nightclub
medical_center	amenity=clinic
family_practice	amenity=clinic
home_cleaning	office=company
social_service_organizations	office=ngo
jewelry_and_watches_manufacturer	shop=jewelry
jewelry_store	shop=jewelry
gas_station	amenity=fuel
car_dealer	shop=car
auto_repair	shop=car_repair
hardware_store	shop=doityourself
park	leisure=park
museum	tourism=museum
library	amenity=library
bank	amenity=bank
atm	amenity=atm
pharmacy	amenity=pharmacy
hospital	amenity=hospital
dentist	amenity=dentist
veterinarian	amenity=veterinary
